statusCode,statusMessage,facilityId,addressName,croppingSerlNo,itemCode,itemName,croppingDate,croppingEndDate,acqAutoYn,acqManlYn,acqCultiYn,acqMgmtYn
00,NORMAL_CODE,PF_0000011_01,충청남도 논산시,24,080300,토마토,2015-01-31,2016-12-31,Y,N,Y,Y
,,PF_0000011_01,충청남도 논산시,23,080300,토마토,2015-08-15,2016-01-24,Y,N,Y,Y
,,PF_0000007_01,충청남도 부여군,31,080300,토마토,2015-09-04,2016-01-21,Y,Y,Y,N
,,PF_0000014_01,충청남도 논산시,27,080300,토마토,2015-10-20,2016-12-31,Y,N,Y,N
,,PF_0000006_01,충청남도 부여군,39,080300,토마토,2015-10-30,2016-12-31,Y,Y,Y,Y
,,PF_0000013_01,충청남도 논산시,22,080300,토마토,2015-11-06,2016-12-31,Y,Y,Y,N
,,PF_0000008_01,충청남도 부여군,35,080300,토마토,2015-11-16,2016-12-31,Y,Y,Y,N
,,PF_0000365_01,전북특별자치도 장수군,349,080300,토마토,2017-06-14,2018-02-22,Y,Y,Y,N
,,PF_0001406_01,전북특별자치도 장수군,350,080300,토마토,2017-06-14,2018-01-01,Y,Y,Y,N
,,PF_0001402_01,전라남도 화순군,400,080300,토마토,2017-12-11,2018-09-04,Y,Y,Y,N
,,PF_0000227_01,전라남도 화순군,401,080300,토마토,2017-12-11,2018-12-11,Y,Y,Y,N
,,PF_0000227_01,전라남도 화순군,510,080300,토마토,2018-07-03,2019-06-28,Y,N,Y,N
,,PF_0000304_01,경상남도 사천시,523,080300,토마토,2018-10-03,2019-06-25,Y,N,Y,N
,,PF_0001405_01,경상남도 사천시,528,080300,토마토,2018-10-14,2019-06-25,Y,Y,Y,N
,,PF_0010075_01,전북특별자치도 김제시,2268,080300,토마토,2019-07-23,2020-05-30,Y,Y,Y,N
,,PF_0002525_01,전북특별자치도 군산시,2116,080300,토마토,2019-08-08,2019-12-13,Y,Y,Y,N
,,PF_0010066_01,전북특별자치도 정읍시,2260,080300,토마토,2019-08-13,2020-07-20,Y,Y,Y,N
,,PF_0000265_01,전라남도 보성군,2144,080300,토마토,2019-08-15,2020-06-10,Y,Y,Y,N
,,PF_0010076_01,전북특별자치도 김제시,2269,080300,토마토,2019-09-01,2020-01-10,Y,Y,Y,N
,,PF_0010059_01,경상남도 사천시,2252,080300,토마토,2019-09-16,2020-08-05,Y,Y,Y,N
